ID,V8,V9,V10,Q1,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q12_1_Group,Q12_2_Group,Q12_3_Group,Q12_4_Group,Q12_5_Group,Q12_6_Group,Q12_7_Group,Q12_8_Group,Q12_9_Group,Q12_10_Group,Q12_11_Group,Q12_12_Group,Q12_13_Group,Q12_14_Group,Q12_15_Group,Q12_23_Group,Q12_16_Group,Q12_17_Group,Q12_18_Group,Q12_19_Group,Q12_20_Group,Q12_21_Group,Q12_22_Group
627184,2011-05-16 14:01:21,2011-05-16 14:14:55,1,1,100,1,1,1,NA,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,1,1
272356,2011-05-16 14:03:57,2011-05-16 14:14:58,1,1,100,NA,1,1,NA,NA,1,NA,1,2,1,0,0,2,2,1,2,1,0,2,0,1,0,0,0,2,1,0,0,1,0,1
1276316,2011-05-16 14:06:45,2011-05-16 14:15:20,1,1,100,NA,1,NA,1,NA,NA,1,1,2,1,0,0,2,1,2,1,0,2,1,0,0,2,0,0,2,0,0,1,1,1,1
1241502,2011-05-16 14:05:01,2011-05-16 14:15:30,1,1,100,1,1,1,NA,NA,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,1,NA,NA,0,NA,1,NA,NA,NA,0,NA
1118719,2011-05-16 13:52:19,2011-05-16 14:16:13,1,1,82,1,1,1,NA,1,1,NA,NA,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
811507,2011-05-16 14:05:49,2011-05-16 14:16:20,1,1,91,1,1,NA,NA,NA,1,NA,NA,2,1,1,0,2,2,1,2,0,1,1,0,0,2,0,2,1,2,1,0,1,0,2
1273345,2011-05-16 14:06:28,2011-05-16 14:17:05,1,1,100,NA,1,NA,NA,NA,1,NA,1,1,2,0,0,1,0,0,1,2,1,2,2,1,2,0,2,1,1,0,0,1,1,2
695905,2011-05-16 13:55:01,2011-05-16 14:17:29,1,1,100,1,NA,NA,NA,1,1,1,NA,2,1,0,0,2,2,2,2,2,1,2,2,2,2,1,2,2,0,0,0,0,1,1
1253119,2011-05-16 14:08:43,2011-05-16 14:18:38,1,1,61,1,NA,NA,NA,NA,NA,NA,NA,2,1,0,0,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,0,1,0,1
533285,2011-05-16 13:59:28,2011-05-16 14:18:47,1,1,41,NA,1,1,1,NA,1,NA,1,1,1,2,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1
257511,2011-05-16 14:09:00,2011-05-16 14:19:32,1,1,100,NA,1,1,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,2,0,2,2,1,2,1,2,1,0,0,0,0,0,0
548414,2011-05-16 14:09:59,2011-05-16 14:19:47,1,1,100,1,1,1,NA,1,NA,1,NA,2,2,1,1,2,2,2,2,2,0,2,1,1,2,0,2,2,1,1,1,2,2,2
31894,2011-05-16 14:05:58,2011-05-16 14:19:51,1,1,100,1,1,1,NA,NA,NA,NA,NA,2,1,1,1,0,2,0,2,0,0,1,1,1,2,0,1,1,0,0,0,0,1,1
798691,2011-05-16 14:05:16,2011-05-16 14:20:04,1,1,100,1,1,1,1,1,1,1,1,2,1,2,0,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,0,1,1,1
991907,2011-05-16 13:54:36,2011-05-16 14:20:17,1,1,75,1,1,1,NA,1,1,NA,NA,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,0,2,2,2,2,1,2
1621703,2011-05-16 14:12:21,2011-05-16 14:20:23,1,1,100,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,NA
1236418,2011-05-16 14:09:58,2011-05-16 14:20:26,1,1,100,1,1,1,NA,1,1,1,1,2,1,1,1,2,2,2,1,1,2,1,0,1,2,1,1,0,1,1,1,2,2,1
